GEO_ID,C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,NAME,C17018_001MA,C17018_001EA,C17018_002EA,C17018_002MA,C17018_003EA,C17018_003MA,C17018_004EA,C17018_004MA,C17018_005MA,C17018_005EA,C17018_006MA,C17018_006EA,C17018_007EA,C17018_007MA,C17018_008MA,C17018_008EA,C17018_009MA,C17018_009EA,C17018_010MA,C17018_010EA,C17018_011EA,C17018_011MA,state
0400000US08,1372705,11369,85547,4645,19579,2697,21086,2391,29370,2750,15512,1850,1287158,12066,77012,4193,222342,7964,380445,9424,607359,10817,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,156585,6413,35390,3619,56146,3803,52712,3936,12337,1516,1526591,12372,116019,4947,444821,10923,464490,11386,501261,11634,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,143499,6052,36151,3344,52108,3322,45564,3603,9676,1337,995428,11461,82488,4040,285164,8295,317879,8378,309897,8270,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,150690,6789,39606,4297,58292,4289,42005,3178,10787,1563,954157,12371,83170,5275,296217,9342,287987,8567,286783,6715,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,264678,8286,59079,4044,90144,6020,86316,5059,29139,2566,2854423,16905,219940,8034,619562,12013,864014,12406,1150907,14024,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,57311,3654,10915,1574,18871,2194,21995,2374,5530,991,743018,8166,40917,2765,188876,5440,258351,6668,254874,7167,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,16178,1948,3050,922,6073,1323,4283,1132,2772,778,325574,5975,15119,1726,69123,3663,100288,4119,141044,4283,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,97453,5721,19544,2492,38000,4075,32757,3646,7152,1489,671681,9873,64295,3624,196141,6427,217939,7954,193306,6374,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,20026,2424,4198,1161,8001,1660,5768,1156,2059,650,218373,5852,14341,1773,62559,4109,59156,3647,82317,3885,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,79752,4368,18273,1856,22255,2355,28983,2468,10241,1440,1317075,9514,57473,3086,256075,6025,447417,7427,556110,8520,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,265643,5250,20411,2093,2407,707,7587,1312,8235,1343,2182,616,245232,5528,8085,1321,57877,3182,86073,4103,93197,3621,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,342542,6065,25166,2433,2872,858,9048,1355,9122,1769,4124,930,317376,5824,13840,2018,83840,4026,101309,3966,118387,4330,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2622295,20703,266430,10873,68858,5158,80982,6828,90333,4635,26257,3037,2355865,20602,191643,7848,488246,10629,770300,12175,905676,14664,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2537406,21205,275202,8546,70920,4718,89605,5632,85725,5322,28952,3367,2262204,21079,189121,6756,521444,12967,663040,14727,888599,15777,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,167527,4191,12621,1743,1998,568,5388,909,4303,1102,932,459,154906,4331,7136,1342,33910,2830,58200,3487,55660,2823,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1214794,12486,148603,5524,41948,3697,52196,3678,44203,3387,10256,1737,1066191,13354,85191,4282,279518,9112,350111,10464,351371,9390,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,155804,3606,9658,1519,1723,867,3861,977,2342,646,1732,454,146146,3549,5407,1132,34740,2279,42540,2665,63459,2712,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,706638,8667,64271,3303,20102,2682,18612,2296,19515,2174,6042,1244,642367,8611,66197,3741,153702,5986,233400,6294,189068,5891,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,461911,6789,60272,4189,11677,1778,25332,2692,18743,2172,4520,1052,401639,6907,34410,3095,142241,5293,116123,5836,108865,5583,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
