GEO_ID,C27001B_001E,C27001B_001M,C27001B_002E,C27001B_002M,C27001B_003E,C27001B_003M,C27001B_004E,C27001B_004M,C27001B_005E,C27001B_005M,C27001B_006E,C27001B_006M,C27001B_007E,C27001B_007M,C27001B_008E,C27001B_008M,C27001B_009E,C27001B_009M,C27001B_010E,C27001B_010M,NAME,C27001B_001EA,C27001B_001MA,C27001B_002EA,C27001B_002MA,C27001B_003EA,C27001B_003MA,C27001B_004EA,C27001B_004MA,C27001B_005EA,C27001B_005MA,C27001B_006MA,C27001B_006EA,C27001B_007EA,C27001B_007MA,C27001B_008EA,C27001B_008MA,C27001B_009EA,C27001B_009MA,C27001B_010EA,C27001B_010MA,state
0400000US08,226930,6570,59812,4365,57084,4452,2728,1412,146923,4174,130716,4764,16207,2896,20195,890,19489,1104,706,620,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,615798,7293,188252,5268,177760,5687,10492,2869,364925,4848,311731,6051,53194,5305,62621,1844,62180,1824,441,389,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,341813,6632,90883,4124,88603,4034,2280,1061,211986,4680,193938,5280,18048,3506,38944,2107,38753,2115,191,204,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1459323,9224,424330,5937,414003,6417,10327,2485,859777,6424,754794,8250,104983,7119,175216,2522,173356,2552,1860,774,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1735509,10515,457794,7107,440868,8061,16926,3617,1057788,7299,932645,9572,125143,7247,219927,2466,218403,2554,1524,711,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,111192,4911,41543,3807,39877,3675,1666,1245,64327,2708,52586,2840,11741,2146,5322,847,5322,847,0,163,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,21756,2524,6230,1156,6015,1147,215,348,14414,1877,12727,1680,1687,768,1112,456,832,458,280,294,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,444115,6014,132375,4271,128935,4561,3440,1412,261975,4190,229531,5501,32444,3992,49765,1619,49225,1660,540,490,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,211235,3492,58287,2576,56639,2547,1648,1013,127211,2330,119258,2918,7953,1766,25737,512,25601,564,136,218,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,358497,5845,131693,4135,128459,4215,3234,1078,208487,3511,189201,4501,19286,3649,18317,1347,17686,1211,631,737,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,18625,1753,6233,1253,6181,1261,52,93,11469,1173,8901,1504,2568,1137,923,402,893,401,30,58,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
