GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,NAME,C27014_001EA,C27014_001MA,C27014_002MA,C27014_002EA,C27014_003EA,C27014_003MA,C27014_004EA,C27014_004MA,C27014_005EA,C27014_005MA,C27014_006EA,C27014_006MA,C27014_007EA,C27014_007MA,C27014_008EA,C27014_008MA,C27014_009EA,C27014_009MA,C27014_010EA,C27014_010MA,state
0400000US08,3465417,5675,2030155,18325,175113,8645,1855042,17231,901913,15318,203086,7400,698827,14897,533349,12851,230237,7840,303112,9918,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3916240,6251,2217883,17321,138680,6346,2079203,18658,970175,12677,181894,7825,788281,11942,728182,14050,343840,11639,384342,9481,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,2612594,4493,1362539,13711,148052,6918,1214487,14533,621033,10831,191059,8391,429974,8430,629022,12415,399750,9984,229272,7871,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2696699,5986,1403692,15891,163079,7312,1240613,16620,599180,14004,189450,10015,409730,11659,693827,15998,381916,13031,311911,10452,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7610628,6680,4278931,23604,296691,9220,3982240,21699,1937109,20290,413741,10916,1523368,18457,1394588,18465,592785,13469,801803,13564,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1816562,4072,1099870,10650,79206,4658,1020664,11228,462127,10073,109603,5734,352524,8595,254565,7432,128810,5398,125755,5432,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,822707,2808,481185,7636,25948,2413,455237,7976,215332,6170,41011,3315,174321,5664,126190,5190,55784,4019,70406,3857,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1722857,5112,933674,14446,91018,5510,842656,14594,369076,10950,101410,5331,267666,9111,420107,10042,243554,8502,176553,6997,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,560194,2051,308867,6798,28824,3384,280043,7376,136567,6063,37075,3541,99492,5080,114760,5862,59231,5112,55529,4061,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3319098,4330,1990297,11704,157205,6701,1833092,12991,898196,12042,222772,6147,675424,9736,430605,9057,199175,6943,231430,5748,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,607555,2649,328648,6316,34454,3641,294194,6504,179248,5698,42289,3339,136959,5926,99659,5414,48314,3547,51345,3966,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
