VARIABLE,TYPE,LABEL,GROUP
B26218_001E,int,Estimate!!Total,B26218
B26218_002E,int,Estimate!!Total!!Male,B26218
B26218_003E,int,Estimate!!Total!!Female,B26218
B26218_004E,int,Estimate!!Total!!Group quarters population,B26218
B26218_005E,int,Estimate!!Total!!Group quarters population!!Male,B26218
B26218_006E,int,Estimate!!Total!!Group quarters population!!Female,B26218
B26218_007E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population,B26218
B26218_008E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Male,B26218
B26218_009E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Female,B26218
B26218_010E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Adult correctional facilities,B26218
B26218_011E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Adult correctional facilities!!Male,B26218
B26218_012E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Adult correctional facilities!!Female,B26218
B26218_013E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Nursing facilities/skilled nursing facilities,B26218
B26218_014E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Nursing facilities/skilled nursing facilities!!Male,B26218
B26218_015E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Nursing facilities/skilled nursing facilities!!Female,B26218
B26218_016E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Juvenile facilities,B26218
B26218_017E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Juvenile facilities!!Male,B26218
B26218_018E,int,Estimate!!Total!!Group quarters population!!Institutionalized group quarters population!!Juvenile facilities!!Female,B26218
B26218_019E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population,B26218
B26218_020E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population!!Male,B26218
B26218_021E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population!!Female,B26218
B26218_022E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population!!College/university student housing,B26218
B26218_023E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population!!College/university student housing!!Male,B26218
B26218_024E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population!!College/university student housing!!Female,B26218
B26218_025E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population!!Military quarters/military ships,B26218
B26218_026E,int,Estimate!!Total!!Group quarters population!!Noninstitutionalized group quarters population!!Military quarters/military ships!!Male,B26218
