VARIABLE,TYPE,LABEL,GROUP
B18030_001E,int,Estimate!!Total,B18030
B18030_002E,int,Estimate!!Total!!With any disability,B18030
B18030_003E,int,Estimate!!Total!!With any disability!!Male,B18030
B18030_004E,int,Estimate!!Total!!With any disability!!Male!!5 to 15 years,B18030
B18030_005E,int,Estimate!!Total!!With any disability!!Male!!5 to 15 years!!Income in the past 12 months below the poverty level,B18030
B18030_006E,int,Estimate!!Total!!With any disability!!Male!!5 to 15 years!!Income in the past 12 months at or above the poverty level,B18030
B18030_007E,int,Estimate!!Total!!With any disability!!Male!!16 to 20 years,B18030
B18030_008E,int,Estimate!!Total!!With any disability!!Male!!16 to 20 years!!Income in the past 12 months below the poverty level,B18030
B18030_009E,int,Estimate!!Total!!With any disability!!Male!!16 to 20 years!!Income in the past 12 months at or above the poverty level,B18030
B18030_010E,int,Estimate!!Total!!With any disability!!Male!!21 to 64 years,B18030
B18030_011E,int,Estimate!!Total!!With any disability!!Male!!21 to 64 years!!Income in the past 12 months below the poverty level,B18030
B18030_012E,int,Estimate!!Total!!With any disability!!Male!!21 to 64 years!!Income in the past 12 months at or above the poverty level,B18030
B18030_013E,int,Estimate!!Total!!With any disability!!Male!!65 years and over,B18030
B18030_014E,int,Estimate!!Total!!With any disability!!Male!!65 years and over!!Income in the past 12 months below the poverty level,B18030
B18030_015E,int,Estimate!!Total!!With any disability!!Male!!65 years and over!!Income in the past 12 months at or above the poverty level,B18030
B18030_016E,int,Estimate!!Total!!With any disability!!Female,B18030
B18030_017E,int,Estimate!!Total!!With any disability!!Female!!5 to 15 years,B18030
B18030_018E,int,Estimate!!Total!!With any disability!!Female!!5 to 15 years!!Income in the past 12 months below the poverty level,B18030
B18030_019E,int,Estimate!!Total!!With any disability!!Female!!5 to 15 years!!Income in the past 12 months at or above the poverty level,B18030
B18030_020E,int,Estimate!!Total!!With any disability!!Female!!16 to 20 years,B18030
B18030_021E,int,Estimate!!Total!!With any disability!!Female!!16 to 20 years!!Income in the past 12 months below the poverty level,B18030
