VARIABLE,TYPE,LABEL,GROUP
C15001_001E,int,Estimate!!Total,C15001
C15001_002E,int,Estimate!!Total!!Male,C15001
C15001_003E,int,Estimate!!Total!!Male!!18 to 24 years,C15001
C15001_004E,int,Estimate!!Total!!Male!!18 to 24 years!!Less than high school graduate,C15001
C15001_005E,int,Estimate!!Total!!Male!!18 to 24 years!!High school graduate (includes equivalency),C15001
C15001_006E,int,Estimate!!Total!!Male!!18 to 24 years!!Some college or associate's degree,C15001
C15001_007E,int,Estimate!!Total!!Male!!18 to 24 years!!Bachelor's degree or higher,C15001
C15001_008E,int,Estimate!!Total!!Male!!25 to 34 years,C15001
C15001_009E,int,Estimate!!Total!!Male!!25 to 34 years!!Less than high school graduate,C15001
C15001_010E,int,Estimate!!Total!!Male!!25 to 34 years!!High school graduate (includes equivalency),C15001
C15001_011E,int,Estimate!!Total!!Male!!25 to 34 years!!Some college or associate's degree,C15001
C15001_012E,int,Estimate!!Total!!Male!!25 to 34 years!!Bachelor's degree or higher,C15001
C15001_013E,int,Estimate!!Total!!Male!!35 to 44 years,C15001
C15001_014E,int,Estimate!!Total!!Male!!35 to 44 years!!Less than high school graduate,C15001
C15001_015E,int,Estimate!!Total!!Male!!35 to 44 years!!High school graduate (includes equivalency),C15001
C15001_016E,int,Estimate!!Total!!Male!!35 to 44 years!!Some college or associate's degree,C15001
C15001_017E,int,Estimate!!Total!!Male!!35 to 44 years!!Bachelor's degree or higher,C15001
C15001_018E,int,Estimate!!Total!!Male!!45 to 64 years,C15001
C15001_019E,int,Estimate!!Total!!Male!!45 to 64 years!!Less than high school graduate,C15001
C15001_020E,int,Estimate!!Total!!Male!!45 to 64 years!!High school graduate (includes equivalency),C15001
C15001_021E,int,Estimate!!Total!!Male!!45 to 64 years!!Some college or associate's degree,C15001
C15001_022E,int,Estimate!!Total!!Male!!45 to 64 years!!Bachelor's degree or higher,C15001
C15001_023E,int,Estimate!!Total!!Male!!65 years and over,C15001
C15001_024E,int,Estimate!!Total!!Male!!65 years and over!!Less than high school graduate,C15001
C15001_025E,int,Estimate!!Total!!Male!!65 years and over!!High school graduate (includes equivalency),C15001
C15001_026E,int,Estimate!!Total!!Male!!65 years and over!!Some college or associate's degree,C15001
C15001_027E,int,Estimate!!Total!!Male!!65 years and over!!Bachelor's degree or higher,C15001
C15001_028E,int,Estimate!!Total!!Female,C15001
C15001_029E,int,Estimate!!Total!!Female!!18 to 24 years,C15001
C15001_030E,int,Estimate!!Total!!Female!!18 to 24 years!!Less than high school graduate,C15001
C15001_031E,int,Estimate!!Total!!Female!!18 to 24 years!!High school graduate (includes equivalency),C15001
C15001_032E,int,Estimate!!Total!!Female!!18 to 24 years!!Some college or associate's degree,C15001
C15001_033E,int,Estimate!!Total!!Female!!18 to 24 years!!Bachelor's degree or higher,C15001
C15001_034E,int,Estimate!!Total!!Female!!25 to 34 years,C15001
C15001_035E,int,Estimate!!Total!!Female!!25 to 34 years!!Less than high school graduate,C15001
C15001_036E,int,Estimate!!Total!!Female!!25 to 34 years!!High school graduate (includes equivalency),C15001
C15001_037E,int,Estimate!!Total!!Female!!25 to 34 years!!Some college or associate's degree,C15001
C15001_038E,int,Estimate!!Total!!Female!!25 to 34 years!!Bachelor's degree or higher,C15001
C15001_039E,int,Estimate!!Total!!Female!!35 to 44 years,C15001
C15001_040E,int,Estimate!!Total!!Female!!35 to 44 years!!Less than high school graduate,C15001
C15001_041E,int,Estimate!!Total!!Female!!35 to 44 years!!High school graduate (includes equivalency),C15001
C15001_042E,int,Estimate!!Total!!Female!!35 to 44 years!!Some college or associate's degree,C15001
C15001_043E,int,Estimate!!Total!!Female!!35 to 44 years!!Bachelor's degree or higher,C15001
C15001_044E,int,Estimate!!Total!!Female!!45 to 64 years,C15001
C15001_045E,int,Estimate!!Total!!Female!!45 to 64 years!!Less than high school graduate,C15001
C15001_046E,int,Estimate!!Total!!Female!!45 to 64 years!!High school graduate (includes equivalency),C15001
C15001_047E,int,Estimate!!Total!!Female!!45 to 64 years!!Some college or associate's degree,C15001
C15001_048E,int,Estimate!!Total!!Female!!45 to 64 years!!Bachelor's degree or higher,C15001
C15001_049E,int,Estimate!!Total!!Female!!65 years and over,C15001
C15001_050E,int,Estimate!!Total!!Female!!65 years and over!!Less than high school graduate,C15001
C15001_051E,int,Estimate!!Total!!Female!!65 years and over!!High school graduate (includes equivalency),C15001
C15001_052E,int,Estimate!!Total!!Female!!65 years and over!!Some college or associate's degree,C15001
C15001_053E,int,Estimate!!Total!!Female!!65 years and over!!Bachelor's degree or higher,C15001
C15001_001M,int,Margin of Error!!Total,C15001
C15001_002M,int,Margin of Error!!Total!!Male,C15001
C15001_003M,int,Margin of Error!!Total!!Male!!18 to 24 years,C15001
C15001_004M,int,Margin of Error!!Total!!Male!!18 to 24 years!!Less than high school graduate,C15001
C15001_005M,int,Margin of Error!!Total!!Male!!18 to 24 years!!High school graduate (includes equivalency),C15001
C15001_006M,int,Margin of Error!!Total!!Male!!18 to 24 years!!Some college or associate's degree,C15001
C15001_007M,int,Margin of Error!!Total!!Male!!18 to 24 years!!Bachelor's degree or higher,C15001
C15001_008M,int,Margin of Error!!Total!!Male!!25 to 34 years,C15001
C15001_009M,int,Margin of Error!!Total!!Male!!25 to 34 years!!Less than high school graduate,C15001
C15001_010M,int,Margin of Error!!Total!!Male!!25 to 34 years!!High school graduate (includes equivalency),C15001
C15001_011M,int,Margin of Error!!Total!!Male!!25 to 34 years!!Some college or associate's degree,C15001
C15001_012M,int,Margin of Error!!Total!!Male!!25 to 34 years!!Bachelor's degree or higher,C15001
C15001_013M,int,Margin of Error!!Total!!Male!!35 to 44 years,C15001
C15001_014M,int,Margin of Error!!Total!!Male!!35 to 44 years!!Less than high school graduate,C15001
C15001_015M,int,Margin of Error!!Total!!Male!!35 to 44 years!!High school graduate (includes equivalency),C15001
C15001_016M,int,Margin of Error!!Total!!Male!!35 to 44 years!!Some college or associate's degree,C15001
