VARIABLE,TYPE,LABEL,GROUP
C18033_001E,int,Estimate!!Total,C18033
C18033_002E,int,Estimate!!Total!!With a mental disability,C18033
C18033_003E,int,Estimate!!Total!!With a mental disability!!Male,C18033
C18033_004E,int,Estimate!!Total!!With a mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_005E,int,Estimate!!Total!!With a mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_006E,int,Estimate!!Total!!With a mental disability!!Female,C18033
C18033_007E,int,Estimate!!Total!!With a mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_008E,int,Estimate!!Total!!With a mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
C18033_009E,int,Estimate!!Total!!No mental disability,C18033
C18033_010E,int,Estimate!!Total!!No mental disability!!Male,C18033
C18033_011E,int,Estimate!!Total!!No mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_012E,int,Estimate!!Total!!No mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_013E,int,Estimate!!Total!!No mental disability!!Female,C18033
C18033_014E,int,Estimate!!Total!!No mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_015E,int,Estimate!!Total!!No mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
C18033_001M,int,Margin of Error!!Total,C18033
C18033_002M,int,Margin of Error!!Total!!With a mental disability,C18033
C18033_003M,int,Margin of Error!!Total!!With a mental disability!!Male,C18033
C18033_004M,int,Margin of Error!!Total!!With a mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_005M,int,Margin of Error!!Total!!With a mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_006M,int,Margin of Error!!Total!!With a mental disability!!Female,C18033
C18033_007M,int,Margin of Error!!Total!!With a mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_008M,int,Margin of Error!!Total!!With a mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
C18033_009M,int,Margin of Error!!Total!!No mental disability,C18033
C18033_010M,int,Margin of Error!!Total!!No mental disability!!Male,C18033
C18033_011M,int,Margin of Error!!Total!!No mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_012M,int,Margin of Error!!Total!!No mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_013M,int,Margin of Error!!Total!!No mental disability!!Female,C18033
C18033_014M,int,Margin of Error!!Total!!No mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_015M,int,Margin of Error!!Total!!No mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
C18033_001EA,string,Annotation of Estimate!!Total,C18033
C18033_001MA,string,Annotation of Margin of Error!!Total,C18033
C18033_002EA,string,Annotation of Estimate!!Total!!With a mental disability,C18033
C18033_002MA,string,Annotation of Margin of Error!!Total!!With a mental disability,C18033
C18033_003EA,string,Annotation of Estimate!!Total!!With a mental disability!!Male,C18033
C18033_003MA,string,Annotation of Margin of Error!!Total!!With a mental disability!!Male,C18033
C18033_004EA,string,Annotation of Estimate!!Total!!With a mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_004MA,string,Annotation of Margin of Error!!Total!!With a mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_005EA,string,Annotation of Estimate!!Total!!With a mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_005MA,string,Annotation of Margin of Error!!Total!!With a mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_006EA,string,Annotation of Estimate!!Total!!With a mental disability!!Female,C18033
C18033_006MA,string,Annotation of Margin of Error!!Total!!With a mental disability!!Female,C18033
C18033_007EA,string,Annotation of Estimate!!Total!!With a mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_007MA,string,Annotation of Margin of Error!!Total!!With a mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_008EA,string,Annotation of Estimate!!Total!!With a mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
C18033_008MA,string,Annotation of Margin of Error!!Total!!With a mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
C18033_009EA,string,Annotation of Estimate!!Total!!No mental disability,C18033
C18033_009MA,string,Annotation of Margin of Error!!Total!!No mental disability,C18033
C18033_010EA,string,Annotation of Estimate!!Total!!No mental disability!!Male,C18033
C18033_010MA,string,Annotation of Margin of Error!!Total!!No mental disability!!Male,C18033
C18033_011EA,string,Annotation of Estimate!!Total!!No mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_011MA,string,Annotation of Margin of Error!!Total!!No mental disability!!Male!!Income in the past 12 months below the poverty level,C18033
C18033_012EA,string,Annotation of Estimate!!Total!!No mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_012MA,string,Annotation of Margin of Error!!Total!!No mental disability!!Male!!Income in the past 12 months at or above the poverty level,C18033
C18033_013EA,string,Annotation of Estimate!!Total!!No mental disability!!Female,C18033
C18033_013MA,string,Annotation of Margin of Error!!Total!!No mental disability!!Female,C18033
C18033_014EA,string,Annotation of Estimate!!Total!!No mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_014MA,string,Annotation of Margin of Error!!Total!!No mental disability!!Female!!Income in the past 12 months below the poverty level,C18033
C18033_015EA,string,Annotation of Estimate!!Total!!No mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
C18033_015MA,string,Annotation of Margin of Error!!Total!!No mental disability!!Female!!Income in the past 12 months at or above the poverty level,C18033
