VARIABLE,TYPE,LABEL,GROUP
B06004APR_001E,int,Estimate!!Total,B06004APR
B06004APR_002E,int,Estimate!!Total!!Born in Puerto Rico,B06004APR
B06004APR_003E,int,Estimate!!Total!!Born in the United States,B06004APR
B06004APR_004E,int,Estimate!!Total!!Native; born elsewhere,B06004APR
B06004APR_005E,int,Estimate!!Total!!Foreign born,B06004APR
B06004APR_001M,int,Margin of Error!!Total,B06004APR
B06004APR_002M,int,Margin of Error!!Total!!Born in Puerto Rico,B06004APR
B06004APR_003M,int,Margin of Error!!Total!!Born in the United States,B06004APR
B06004APR_004M,int,Margin of Error!!Total!!Native; born elsewhere,B06004APR
B06004APR_005M,int,Margin of Error!!Total!!Foreign born,B06004APR
B06004APR_001EA,string,Annotation of Estimate!!Total,B06004APR
B06004APR_001MA,string,Annotation of Margin of Error!!Total,B06004APR
B06004APR_002EA,string,Annotation of Estimate!!Total!!Born in Puerto Rico,B06004APR
B06004APR_002MA,string,Annotation of Margin of Error!!Total!!Born in Puerto Rico,B06004APR
B06004APR_003EA,string,Annotation of Estimate!!Total!!Born in the United States,B06004APR
B06004APR_003MA,string,Annotation of Margin of Error!!Total!!Born in the United States,B06004APR
B06004APR_004EA,string,Annotation of Estimate!!Total!!Native; born elsewhere,B06004APR
B06004APR_004MA,string,Annotation of Margin of Error!!Total!!Native; born elsewhere,B06004APR
B06004APR_005EA,string,Annotation of Estimate!!Total!!Foreign born,B06004APR
B06004APR_005MA,string,Annotation of Margin of Error!!Total!!Foreign born,B06004APR
