VARIABLE,TYPE,LABEL,GROUP
C23002A_001E,int,Estimate!!Total,C23002A
C23002A_002E,int,Estimate!!Total!!Male,C23002A
C23002A_003E,int,Estimate!!Total!!Male!!16 to 64 years,C23002A
C23002A_004E,int,Estimate!!Total!!Male!!16 to 64 years!!In labor force,C23002A
C23002A_005E,int,Estimate!!Total!!Male!!16 to 64 years!!In labor force!!In Armed Forces,C23002A
C23002A_006E,int,Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian,C23002A
C23002A_007E,int,Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Employed,C23002A
C23002A_008E,int,Estimate!!Total!!Male!!16 to 64 years!!In labor force!!Civilian!!Unemployed,C23002A
C23002A_009E,int,Estimate!!Total!!Male!!16 to 64 years!!Not in labor force,C23002A
C23002A_010E,int,Estimate!!Total!!Male!!65 years and over,C23002A
C23002A_011E,int,Estimate!!Total!!Male!!65 years and over!!In labor force,C23002A
C23002A_012E,int,Estimate!!Total!!Male!!65 years and over!!In labor force!!Employed,C23002A
C23002A_013E,int,Estimate!!Total!!Male!!65 years and over!!In labor force!!Unemployed,C23002A
C23002A_014E,int,Estimate!!Total!!Male!!65 years and over!!Not in labor force,C23002A
C23002A_015E,int,Estimate!!Total!!Female,C23002A
C23002A_016E,int,Estimate!!Total!!Female!!16 to 64 years,C23002A
C23002A_017E,int,Estimate!!Total!!Female!!16 to 64 years!!In labor force,C23002A
C23002A_018E,int,Estimate!!Total!!Female!!16 to 64 years!!In labor force!!In Armed Forces,C23002A
C23002A_019E,int,Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian,C23002A
C23002A_020E,int,Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Employed,C23002A
C23002A_021E,int,Estimate!!Total!!Female!!16 to 64 years!!In labor force!!Civilian!!Unemployed,C23002A
C23002A_022E,int,Estimate!!Total!!Female!!16 to 64 years!!Not in labor force,C23002A
C23002A_023E,int,Estimate!!Total!!Female!!65 years and over,C23002A
C23002A_024E,int,Estimate!!Total!!Female!!65 years and over!!In labor force,C23002A
C23002A_025E,int,Estimate!!Total!!Female!!65 years and over!!In labor force!!Employed,C23002A
C23002A_026E,int,Estimate!!Total!!Female!!65 years and over!!In labor force!!Unemployed,C23002A
