VARIABLE,TYPE,LABEL,GROUP
C06007PR_001E,int,Estimate!!Total,C06007PR
C06007PR_002E,int,Estimate!!Total!!Speak only English,C06007PR
C06007PR_003E,int,Estimate!!Total!!Speak language other than English,C06007PR
C06007PR_004E,int,"Estimate!!Total!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_005E,int,"Estimate!!Total!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_006E,int,Estimate!!Total!!Born in Puerto Rico,C06007PR
C06007PR_007E,int,Estimate!!Total!!Born in Puerto Rico!!Speak only English,C06007PR
C06007PR_008E,int,Estimate!!Total!!Born in Puerto Rico!!Speak language other than English,C06007PR
C06007PR_009E,int,"Estimate!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_010E,int,"Estimate!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_011E,int,Estimate!!Total!!Born in the United States,C06007PR
C06007PR_012E,int,Estimate!!Total!!Born in the United States!!Speak only English,C06007PR
C06007PR_013E,int,Estimate!!Total!!Born in the United States!!Speak language other than English,C06007PR
C06007PR_014E,int,"Estimate!!Total!!Born in the United States!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_015E,int,"Estimate!!Total!!Born in the United States!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_016E,int,Estimate!!Total!!Native; born elsewhere,C06007PR
C06007PR_017E,int,Estimate!!Total!!Native; born elsewhere!!Speak only English,C06007PR
C06007PR_018E,int,Estimate!!Total!!Native; born elsewhere!!Speak language other than English,C06007PR
C06007PR_019E,int,"Estimate!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_020E,int,"Estimate!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_021E,int,Estimate!!Total!!Foreign born,C06007PR
C06007PR_022E,int,Estimate!!Total!!Foreign born!!Speak only English,C06007PR
C06007PR_023E,int,Estimate!!Total!!Foreign born!!Speak language other than English,C06007PR
C06007PR_024E,int,"Estimate!!Total!!Foreign born!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_025E,int,"Estimate!!Total!!Foreign born!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_001M,int,Margin of Error!!Total,C06007PR
C06007PR_002M,int,Margin of Error!!Total!!Speak only English,C06007PR
C06007PR_003M,int,Margin of Error!!Total!!Speak language other than English,C06007PR
C06007PR_004M,int,"Margin of Error!!Total!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_005M,int,"Margin of Error!!Total!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_006M,int,Margin of Error!!Total!!Born in Puerto Rico,C06007PR
C06007PR_007M,int,Margin of Error!!Total!!Born in Puerto Rico!!Speak only English,C06007PR
C06007PR_008M,int,Margin of Error!!Total!!Born in Puerto Rico!!Speak language other than English,C06007PR
C06007PR_009M,int,"Margin of Error!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_010M,int,"Margin of Error!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_011M,int,Margin of Error!!Total!!Born in the United States,C06007PR
C06007PR_012M,int,Margin of Error!!Total!!Born in the United States!!Speak only English,C06007PR
C06007PR_013M,int,Margin of Error!!Total!!Born in the United States!!Speak language other than English,C06007PR
C06007PR_014M,int,"Margin of Error!!Total!!Born in the United States!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_015M,int,"Margin of Error!!Total!!Born in the United States!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_016M,int,Margin of Error!!Total!!Native; born elsewhere,C06007PR
C06007PR_017M,int,Margin of Error!!Total!!Native; born elsewhere!!Speak only English,C06007PR
C06007PR_018M,int,Margin of Error!!Total!!Native; born elsewhere!!Speak language other than English,C06007PR
C06007PR_019M,int,"Margin of Error!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_020M,int,"Margin of Error!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_021M,int,Margin of Error!!Total!!Foreign born,C06007PR
C06007PR_022M,int,Margin of Error!!Total!!Foreign born!!Speak only English,C06007PR
C06007PR_023M,int,Margin of Error!!Total!!Foreign born!!Speak language other than English,C06007PR
C06007PR_024M,int,"Margin of Error!!Total!!Foreign born!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_025M,int,"Margin of Error!!Total!!Foreign born!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_001EA,string,Annotation of Estimate!!Total,C06007PR
C06007PR_001MA,string,Annotation of Margin of Error!!Total,C06007PR
C06007PR_002EA,string,Annotation of Estimate!!Total!!Speak only English,C06007PR
C06007PR_002MA,string,Annotation of Margin of Error!!Total!!Speak only English,C06007PR
C06007PR_003EA,string,Annotation of Estimate!!Total!!Speak language other than English,C06007PR
C06007PR_003MA,string,Annotation of Margin of Error!!Total!!Speak language other than English,C06007PR
C06007PR_004EA,string,"Annotation of Estimate!!Total!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_004MA,string,"Annotation of Margin of Error!!Total!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_005EA,string,"Annotation of Estimate!!Total!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_005MA,string,"Annotation of Margin of Error!!Total!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_006EA,string,Annotation of Estimate!!Total!!Born in Puerto Rico,C06007PR
C06007PR_006MA,string,Annotation of Margin of Error!!Total!!Born in Puerto Rico,C06007PR
C06007PR_007EA,string,Annotation of Estimate!!Total!!Born in Puerto Rico!!Speak only English,C06007PR
C06007PR_007MA,string,Annotation of Margin of Error!!Total!!Born in Puerto Rico!!Speak only English,C06007PR
C06007PR_008EA,string,Annotation of Estimate!!Total!!Born in Puerto Rico!!Speak language other than English,C06007PR
C06007PR_008MA,string,Annotation of Margin of Error!!Total!!Born in Puerto Rico!!Speak language other than English,C06007PR
C06007PR_009EA,string,"Annotation of Estimate!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_009MA,string,"Annotation of Margin of Error!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_010EA,string,"Annotation of Estimate!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_010MA,string,"Annotation of Margin of Error!!Total!!Born in Puerto Rico!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_011EA,string,Annotation of Estimate!!Total!!Born in the United States,C06007PR
C06007PR_011MA,string,Annotation of Margin of Error!!Total!!Born in the United States,C06007PR
C06007PR_012EA,string,Annotation of Estimate!!Total!!Born in the United States!!Speak only English,C06007PR
C06007PR_012MA,string,Annotation of Margin of Error!!Total!!Born in the United States!!Speak only English,C06007PR
C06007PR_013EA,string,Annotation of Estimate!!Total!!Born in the United States!!Speak language other than English,C06007PR
C06007PR_013MA,string,Annotation of Margin of Error!!Total!!Born in the United States!!Speak language other than English,C06007PR
C06007PR_014EA,string,"Annotation of Estimate!!Total!!Born in the United States!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_014MA,string,"Annotation of Margin of Error!!Total!!Born in the United States!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_015EA,string,"Annotation of Estimate!!Total!!Born in the United States!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_015MA,string,"Annotation of Margin of Error!!Total!!Born in the United States!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_016EA,string,Annotation of Estimate!!Total!!Native; born elsewhere,C06007PR
C06007PR_016MA,string,Annotation of Margin of Error!!Total!!Native; born elsewhere,C06007PR
C06007PR_017EA,string,Annotation of Estimate!!Total!!Native; born elsewhere!!Speak only English,C06007PR
C06007PR_017MA,string,Annotation of Margin of Error!!Total!!Native; born elsewhere!!Speak only English,C06007PR
C06007PR_018EA,string,Annotation of Estimate!!Total!!Native; born elsewhere!!Speak language other than English,C06007PR
C06007PR_018MA,string,Annotation of Margin of Error!!Total!!Native; born elsewhere!!Speak language other than English,C06007PR
C06007PR_019EA,string,"Annotation of Estimate!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_019MA,string,"Annotation of Margin of Error!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_020EA,string,"Annotation of Estimate!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_020MA,string,"Annotation of Margin of Error!!Total!!Native; born elsewhere!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_021EA,string,Annotation of Estimate!!Total!!Foreign born,C06007PR
C06007PR_021MA,string,Annotation of Margin of Error!!Total!!Foreign born,C06007PR
C06007PR_022EA,string,Annotation of Estimate!!Total!!Foreign born!!Speak only English,C06007PR
C06007PR_022MA,string,Annotation of Margin of Error!!Total!!Foreign born!!Speak only English,C06007PR
C06007PR_023EA,string,Annotation of Estimate!!Total!!Foreign born!!Speak language other than English,C06007PR
C06007PR_023MA,string,Annotation of Margin of Error!!Total!!Foreign born!!Speak language other than English,C06007PR
C06007PR_024EA,string,"Annotation of Estimate!!Total!!Foreign born!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_024MA,string,"Annotation of Margin of Error!!Total!!Foreign born!!Speak language other than English!!Speak English ""very well""",C06007PR
C06007PR_025EA,string,"Annotation of Estimate!!Total!!Foreign born!!Speak language other than English!!Speak English less than ""very well""",C06007PR
C06007PR_025MA,string,"Annotation of Margin of Error!!Total!!Foreign born!!Speak language other than English!!Speak English less than ""very well""",C06007PR
