VARIABLE,TYPE,LABEL,GROUP
S2703_C01_001E,int,Estimate!!Total!!Civilian noninstitutionalized population,S2703
S2703_C01_002E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination,S2703
S2703_C01_003E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination!!Under 19,S2703
S2703_C01_004E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination!!19 to 64 years,S2703
S2703_C01_005E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination!!65 years and over,S2703
S2703_C01_006E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination,S2703
S2703_C01_007E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination!!Under 19,S2703
S2703_C01_008E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination!!19 to 64 years,S2703
S2703_C01_009E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination!!65 years and over,S2703
S2703_C01_010E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination,S2703
S2703_C01_011E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination!!Under 19,S2703
S2703_C01_012E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination!!19 to 64 years,S2703
S2703_C01_013E,int,Estimate!!Total!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination!!65 years and over,S2703
S2703_C01_014E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold,S2703
S2703_C01_015E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold,S2703
S2703_C01_016E,int,"Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)",S2703
S2703_C01_017E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6,S2703
S2703_C01_018E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years,S2703
S2703_C01_019E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years,S2703
S2703_C01_020E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years,S2703
S2703_C01_021E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years,S2703
S2703_C01_022E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years,S2703
S2703_C01_023E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years,S2703
S2703_C01_024E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years,S2703
S2703_C01_025E,int,Estimate!!Total!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over,S2703
S2703_C01_026E,int,Estimate!!Total!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone,S2703
S2703_C01_027E,int,Estimate!!Total!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone!!Employer-based health insurance alone,S2703
S2703_C01_028E,int,Estimate!!Total!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone!!Direct-purchase health insurance alone,S2703
S2703_C01_029E,int,Estimate!!Total!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone!!Tricare/military health coverage alone,S2703
S2703_C02_001E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population,S2703
S2703_C02_002E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination,S2703
S2703_C02_003E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination!!Under 19,S2703
S2703_C02_004E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination!!19 to 64 years,S2703
S2703_C02_005E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination!!65 years and over,S2703
S2703_C02_006E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination,S2703
S2703_C02_007E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination!!Under 19,S2703
S2703_C02_008E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination!!19 to 64 years,S2703
S2703_C02_009E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Direct-purchase health insurance alone or in combination!!65 years and over,S2703
S2703_C02_010E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination,S2703
S2703_C02_011E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination!!Under 19,S2703
S2703_C02_012E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination!!19 to 64 years,S2703
S2703_C02_013E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!Tricare/military health insurance alone or in combination!!65 years and over,S2703
S2703_C02_014E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!Below 138 percent of the poverty threshold,S2703
S2703_C02_015E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!At or above 138 percent of the poverty threshold,S2703
S2703_C02_016E,int,"Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!Worked full-time, year-round (19-64 years)",S2703
S2703_C02_017E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!Under 6,S2703
S2703_C02_018E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!6 to 18 years,S2703
S2703_C02_019E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!19 to 25 years,S2703
S2703_C02_020E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!26 to 34 years,S2703
S2703_C02_021E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!35 to 44 years,S2703
S2703_C02_022E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!45 to 54 years,S2703
S2703_C02_023E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!55 to 64 years,S2703
S2703_C02_024E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!65 to 74 years,S2703
S2703_C02_025E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION!!75 years and over,S2703
S2703_C02_026E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone,S2703
S2703_C02_027E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone!!Employer-based health insurance alone,S2703
S2703_C02_028E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone!!Direct-purchase health insurance alone,S2703
S2703_C02_029E,int,Estimate!!Private Coverage!!Civilian noninstitutionalized population!!COVERAGE ALONE!!Private health insurance alone!!Tricare/military health coverage alone,S2703
S2703_C03_001E,float,Estimate!!Percent Private Coverage!!Civilian noninstitutionalized population,S2703
S2703_C03_002E,float,Estimate!!Percent Private Coverage!!Civilian noninstitutionalized population!!Employer-based health insurance alone or in combination,S2703
