VARIABLE,TYPE,LABEL,GROUP
C08101_001E,int,Estimate!!Total,C08101
C08101_002E,int,Estimate!!Total!!16 to 19 years,C08101
C08101_003E,int,Estimate!!Total!!20 to 24 years,C08101
C08101_004E,int,Estimate!!Total!!25 to 44 years,C08101
C08101_005E,int,Estimate!!Total!!45 to 54 years,C08101
C08101_006E,int,Estimate!!Total!!55 to 59 years,C08101
C08101_007E,int,Estimate!!Total!!60 years and over,C08101
C08101_008E,int,"Estimate!!Total!!Car, truck, or van - drove alone",C08101
C08101_009E,int,"Estimate!!Total!!Car, truck, or van - drove alone!!16 to 19 years",C08101
C08101_010E,int,"Estimate!!Total!!Car, truck, or van - drove alone!!20 to 24 years",C08101
C08101_011E,int,"Estimate!!Total!!Car, truck, or van - drove alone!!25 to 44 years",C08101
C08101_012E,int,"Estimate!!Total!!Car, truck, or van - drove alone!!45 to 54 years",C08101
C08101_013E,int,"Estimate!!Total!!Car, truck, or van - drove alone!!55 to 59 years",C08101
C08101_014E,int,"Estimate!!Total!!Car, truck, or van - drove alone!!60 years and over",C08101
C08101_015E,int,"Estimate!!Total!!Car, truck, or van - carpooled",C08101
C08101_016E,int,"Estimate!!Total!!Car, truck, or van - carpooled!!16 to 19 years",C08101
C08101_017E,int,"Estimate!!Total!!Car, truck, or van - carpooled!!20 to 24 years",C08101
C08101_018E,int,"Estimate!!Total!!Car, truck, or van - carpooled!!25 to 44 years",C08101
C08101_019E,int,"Estimate!!Total!!Car, truck, or van - carpooled!!45 to 54 years",C08101
C08101_020E,int,"Estimate!!Total!!Car, truck, or van - carpooled!!55 to 59 years",C08101
C08101_021E,int,"Estimate!!Total!!Car, truck, or van - carpooled!!60 years and over",C08101
C08101_022E,int,Estimate!!Total!!Public transportation (excluding taxicab),C08101
C08101_023E,int,Estimate!!Total!!Public transportation (excluding taxicab)!!16 to 19 years,C08101
C08101_024E,int,Estimate!!Total!!Public transportation (excluding taxicab)!!20 to 24 years,C08101
C08101_025E,int,Estimate!!Total!!Public transportation (excluding taxicab)!!25 to 44 years,C08101
C08101_026E,int,Estimate!!Total!!Public transportation (excluding taxicab)!!45 to 54 years,C08101
C08101_027E,int,Estimate!!Total!!Public transportation (excluding taxicab)!!55 to 59 years,C08101
C08101_028E,int,Estimate!!Total!!Public transportation (excluding taxicab)!!60 years and over,C08101
C08101_029E,int,"Estimate!!Total!!Taxicab, motorcycle, bicycle, walked, or other means",C08101
C08101_030E,int,"Estimate!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!16 to 19 years",C08101
C08101_031E,int,"Estimate!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!20 to 24 years",C08101
C08101_032E,int,"Estimate!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!25 to 44 years",C08101
C08101_033E,int,"Estimate!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!45 to 54 years",C08101
C08101_034E,int,"Estimate!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!55 to 59 years",C08101
C08101_035E,int,"Estimate!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!60 years and over",C08101
C08101_036E,int,Estimate!!Total!!Worked at home,C08101
C08101_037E,int,Estimate!!Total!!Worked at home!!16 to 19 years,C08101
C08101_038E,int,Estimate!!Total!!Worked at home!!20 to 24 years,C08101
C08101_039E,int,Estimate!!Total!!Worked at home!!25 to 44 years,C08101
C08101_040E,int,Estimate!!Total!!Worked at home!!45 to 54 years,C08101
C08101_041E,int,Estimate!!Total!!Worked at home!!55 to 59 years,C08101
C08101_042E,int,Estimate!!Total!!Worked at home!!60 years and over,C08101
C08101_001M,int,Margin of Error!!Total,C08101
C08101_002M,int,Margin of Error!!Total!!16 to 19 years,C08101
C08101_003M,int,Margin of Error!!Total!!20 to 24 years,C08101
C08101_004M,int,Margin of Error!!Total!!25 to 44 years,C08101
C08101_005M,int,Margin of Error!!Total!!45 to 54 years,C08101
C08101_006M,int,Margin of Error!!Total!!55 to 59 years,C08101
C08101_007M,int,Margin of Error!!Total!!60 years and over,C08101
C08101_008M,int,"Margin of Error!!Total!!Car, truck, or van - drove alone",C08101
C08101_009M,int,"Margin of Error!!Total!!Car, truck, or van - drove alone!!16 to 19 years",C08101
C08101_010M,int,"Margin of Error!!Total!!Car, truck, or van - drove alone!!20 to 24 years",C08101
C08101_011M,int,"Margin of Error!!Total!!Car, truck, or van - drove alone!!25 to 44 years",C08101
C08101_012M,int,"Margin of Error!!Total!!Car, truck, or van - drove alone!!45 to 54 years",C08101
C08101_013M,int,"Margin of Error!!Total!!Car, truck, or van - drove alone!!55 to 59 years",C08101
C08101_014M,int,"Margin of Error!!Total!!Car, truck, or van - drove alone!!60 years and over",C08101
C08101_015M,int,"Margin of Error!!Total!!Car, truck, or van - carpooled",C08101
C08101_016M,int,"Margin of Error!!Total!!Car, truck, or van - carpooled!!16 to 19 years",C08101
C08101_017M,int,"Margin of Error!!Total!!Car, truck, or van - carpooled!!20 to 24 years",C08101
C08101_018M,int,"Margin of Error!!Total!!Car, truck, or van - carpooled!!25 to 44 years",C08101
C08101_019M,int,"Margin of Error!!Total!!Car, truck, or van - carpooled!!45 to 54 years",C08101
C08101_020M,int,"Margin of Error!!Total!!Car, truck, or van - carpooled!!55 to 59 years",C08101
C08101_021M,int,"Margin of Error!!Total!!Car, truck, or van - carpooled!!60 years and over",C08101
C08101_022M,int,Margin of Error!!Total!!Public transportation (excluding taxicab),C08101
C08101_023M,int,Margin of Error!!Total!!Public transportation (excluding taxicab)!!16 to 19 years,C08101
C08101_024M,int,Margin of Error!!Total!!Public transportation (excluding taxicab)!!20 to 24 years,C08101
C08101_025M,int,Margin of Error!!Total!!Public transportation (excluding taxicab)!!25 to 44 years,C08101
C08101_026M,int,Margin of Error!!Total!!Public transportation (excluding taxicab)!!45 to 54 years,C08101
C08101_027M,int,Margin of Error!!Total!!Public transportation (excluding taxicab)!!55 to 59 years,C08101
C08101_028M,int,Margin of Error!!Total!!Public transportation (excluding taxicab)!!60 years and over,C08101
C08101_029M,int,"Margin of Error!!Total!!Taxicab, motorcycle, bicycle, walked, or other means",C08101
C08101_030M,int,"Margin of Error!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!16 to 19 years",C08101
C08101_031M,int,"Margin of Error!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!20 to 24 years",C08101
C08101_032M,int,"Margin of Error!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!25 to 44 years",C08101
C08101_033M,int,"Margin of Error!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!45 to 54 years",C08101
C08101_034M,int,"Margin of Error!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!55 to 59 years",C08101
C08101_035M,int,"Margin of Error!!Total!!Taxicab, motorcycle, bicycle, walked, or other means!!60 years and over",C08101
C08101_036M,int,Margin of Error!!Total!!Worked at home,C08101
C08101_037M,int,Margin of Error!!Total!!Worked at home!!16 to 19 years,C08101
C08101_038M,int,Margin of Error!!Total!!Worked at home!!20 to 24 years,C08101
C08101_039M,int,Margin of Error!!Total!!Worked at home!!25 to 44 years,C08101
C08101_040M,int,Margin of Error!!Total!!Worked at home!!45 to 54 years,C08101
C08101_041M,int,Margin of Error!!Total!!Worked at home!!55 to 59 years,C08101
C08101_042M,int,Margin of Error!!Total!!Worked at home!!60 years and over,C08101
C08101_001EA,string,Annotation of Estimate!!Total,C08101
C08101_001MA,string,Annotation of Margin of Error!!Total,C08101
C08101_002EA,string,Annotation of Estimate!!Total!!16 to 19 years,C08101
C08101_002MA,string,Annotation of Margin of Error!!Total!!16 to 19 years,C08101
C08101_003EA,string,Annotation of Estimate!!Total!!20 to 24 years,C08101
C08101_003MA,string,Annotation of Margin of Error!!Total!!20 to 24 years,C08101
C08101_004EA,string,Annotation of Estimate!!Total!!25 to 44 years,C08101
